id,title,author,location,category,status,createdAt,updatedAt
469,Pan Fortepianek,Dorota Suwalska,Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3244,Jak WOjtek Został Strażakiem,Czesław Janczarski,Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3245,Zaklęcie dla Goleema - Praga,Krzysztof Patek,Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3246,Lasse i Maja - Tajemnica Mumii,"Martin Widmark, Hellena Willis",Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3247,Lasse i Maja - Tajemnica Złota,"Martin \Widmark, Hellena Willis",Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3248,Lasse i Maja - Tajemnica Zamku,"Martin Widmark, Hellena Willis",Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3249,Wakacja z Lassem i Mają,"Martin Widmark, Hellena Willis",Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3250,Lasse i Maja - Tajemnica Sreba,"Martin Widmark, Hellena Willis",Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3251,Tajemnica Szpitala,"Martin Widmark, Helena Willis",Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3252,Wielka Księga Zwierzaków,Martyna Wojeciechowska,Main Shelf,Dla dzice,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3244,Jak Wojtek został strażakiem,Czesław Janczarski,Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3245,Zaklęcie dla Golema - Praga,Krzysztof Patek,Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3246,Lasse i Maja - Tajemnica Mumii,"Martin Widmark, Hellena Willis",Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3247,Lasse i Maja - Tajemnica Złota,"Martin Widmark, Hellena Willis",Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3248,Lasse i Maja - Tajemnica Zamku,Martin Widmark i Hellena Willis,Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3249,Wakacje z Lassem i Mają,Martin Widmark i Hellena Willis,Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3250,Lasse i Maja - Tajemnica Sreba,Martin Widmark i Hellena Willis,Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3251,Lasse i Maja - Tajemnica Szpitala,Martin Widmark i Hellena Willis,Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3252,Wielka Księga Zwierzaków,Martyna Wojciechowska,Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
3254,Hans Christian Andersen - Baśnie,Hans Christian Andersen,Main Shelf,Children,Available,2026-09-01T07:17:03Z,2026-09-01T07:17:03Z
